title,genre,premiere,runtime,imdb_score,language,year
Eurovision Song Contest: The Story of Fire Saga,Musical comedy,6/26/2020,123,6.5,English,2020
Gerald's Game,Horror thriller,9/29/2017,103,6.5,English,2017
His House,Thriller,10/30/2020,93,6.5,English,2020
Jingle Jangle: A Christmas Journey,Family/Christmas musical,11/13/2020,119,6.5,English,2020
Life Overtakes Me,Documentary,6/14/2019,40,6.5,English/Swedish,2019
Lust Stories,Drama,6/15/2018,120,6.5,Hindi,2018
Monster,Drama,5/7/2021,98,6.5,English,2021
Mowgli: Legend of the Jungle,Adventure,12/7/2018,104,6.5,English,2018
Nobody Knows I'm Here,Drama,6/24/2020,91,6.5,Spanish,2020
Nobody Speak: Trials of the Free Press,Documentary,6/23/2017,95,6.5,English,2017
Oxygen,Science fiction thriller,5/12/2021,101,6.5,French,2021
Set It Up,Romantic comedy,6/15/2018,105,6.5,English,2018
The Incredible Jessica James,Comedy,7/28/2017,83,6.5,English,2017
Tigertail,Drama,4/10/2020,91,6.5,English/Taiwanese/Mandarin,2020
Tramps,Romance,4/21/2017,83,6.5,English,2017
What Did Jack Do?,Drama / Short,1/20/2020,17,6.5,English,2020
Bad Trip,Hidden-camera prank comedy,3/26/2021,86,6.6,English,2021
Bird Box,Psychological thriller,12/21/2018,124,6.6,English,2018
Bulbbul,Horror,6/24/2020,94,6.6,Hindi,2020
Crazy About Her,Romantic comedy,2/26/2021,102,6.6,Spanish,2021
Elisa & Marcela,Romance,6/7/2019,118,6.6,Spanish,2019
I'll Sleep When I'm Dead,Documentary,8/19/2016,79,6.6,English,2016
I'm Thinking of Ending Things,Psychological thriller,9/4/2020,134,6.6,English,2020
It Takes a Lunatic,Documentary,10/25/2019,126,6.6,English,2019
Milestone,Drama,5/7/2021,98,6.6,Hindi,2021
Recovery Boys,Documentary,6/29/2018,89,6.6,English,2018
ReMastered: Who Killed Jam Master Jay?,Documentary,12/7/2018,58,6.6,English,2018
Shawn Mendes: In Wonder,Documentary,11/23/2020,83,6.6,English,2020
Space Sweepers,Science fiction,2/5/2021,136,6.6,Korean,2021
The American Meme,Documentary,12/7/2018,98,6.6,English,2018
The Angel,Spy thriller,9/14/2018,114,6.6,English,2018
The Crimes That Bind,Crime drama,8/20/2020,99,6.6,Spanish,2020
The Red Sea Diving Resort,Spy thriller,7/31/2019,130,6.6,English,2019
What Would Sophia Loren Do?,Documentary,1/15/2021,32,6.6,English,2021
A Whisker Away,Anime/Fantasy,6/18/2020,104,6.7,Japanese,2020
Ajeeb Daastaans,Drama,4/16/2021,142,6.7,Hindi,2021
Arlo the Alligator Boy,Animated musical comedy,4/16/2021,92,6.7,English,2021
"Bikram: Yogi, Guru, Predator",Documentary,11/20/2019,86,6.7,English,2019
Blame!,Anime/Science fiction,5/20/2017,106,6.7,Japanese,2017
Blue Miracle,Drama,5/27/2021,95,6.7,English,2021
CounterPunch ,Documentary,6/16/2017,91,6.7,English,2017
"Crack: Cocaine, Corruption & Conspiracy",Documentary,1/11/2021,89,6.7,English,2021
Extraction,Action,4/24/2020,117,6.7,English,2020
Giving Voice,Documentary,12/11/2020,90,6.7,English,2020
Hillbilly Elegy,Drama,11/24/2020,117,6.7,English,2020
Hope Frozen: A Quest to Live Twice,Documentary,9/15/2020,80,6.7,Thia/English,2020
Imperial Dreams,Drama,2/3/2017,87,6.7,English,2017
Just Another Christmas,Comedy,12/3/2020,101,6.7,Portuguese,2020
Little Miss Sumo,Documentary,10/28/2019,19,6.7,Japanese,2019
Malcolm & Marie,Romantic drama,2/5/2021,106,6.7,English,2021
"Michael Bolton's Big, Sexy, Valentine's Day Special",Variety Show,2/7/2017,54,6.7,English,2017
Moxie,Drama,3/3/2021,111,6.7,English,2021
Night in Paradise,Drama,4/9/2021,132,6.7,Korean,2021
Paper Lives,Drama,3/12/2021,97,6.7,Turkish,2021
Parchis: The Documentary,Documentary,7/10/2019,106,6.7,Spanish,2019
Tallulah,Comedy-drama,7/29/2016,111,6.7,English,2016
The Old Guard,Superhero/Action,7/10/2020,124,6.7,English,2020
Tony Robbins: I Am Not Your Guru,Documentary,7/15/2016,116,6.7,English,2016
Upstarts,Drama,10/18/2019,112,6.7,Hindi,2019
22-Jul,Drama,10/10/2018,144,6.8,English,2018
7 a̱os,Drama,10/28/2016,76,6.8,Spanish,2016
A Futile and Stupid Gesture,Biographical/Comedy,1/26/2018,101,6.8,English,2018
A Life of Speed: The Juan Manuel Fangio Story,Documentary,3/20/2020,92,6.8,Spanish,2020
A Love Song for Latasha,Documentary,9/21/2020,19,6.8,English,2020
All in My Family,Documentary,5/3/2019,39,6.8,English/Mandarin,2019
Always Be My Maybe,Romantic comedy,5/31/2019,102,6.8,English,2019
Becoming,Documentary,5/6/2020,89,6.8,English,2020
Long Live Brij Mohan,Comedy,8/3/2018,105,6.8,Hindi,2018
Calibre,Thriller,6/29/2018,101,6.8,English,2018
Death to 2020,Comedy,12/27/2020,70,6.8,English,2020
GIMS: On the Record,Documentary,9/17/2020,96,6.8,French,2020
Have a Good Trip: Adventures in Psychedelics,Documentary,5/11/2020,85,6.8,English,2020
Heroin(e) ,Documentary,9/12/2017,39,6.8,English,2017
Mercury 13,Documentary,4/20/2018,79,6.8,English,2018
Saving Capitalism,Documentary,11/21/2017,73,6.8,English,2017
Serious Men,Drama,10/2/2020,114,6.8,Hindi,2020
The Boys in the Band,Drama,9/30/2020,121,6.8,English,2020
